level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1053	-1	
2	1	1	0	0	0	1685	38	180	31	-1	
3	1	1	1	0	0	1685	38	180	31	-1	
4	1	1	1	1	0	1685	38	180	31	-1	
5	1	1	1	1	1	1685	38	180	31	62.584072	InvoiceNvo
2	1	2	0	0	0	1927	38	138	29	-1	
3	1	2	1	0	0	1927	38	138	29	-1	
4	1	2	1	1	0	1927	38	138	29	-1	
5	1	2	1	1	1	1927	38	138	29	96.275978	01-1202
2	1	3	0	0	0	2160	38	100	29	-1	
3	1	3	1	0	0	2160	38	100	29	-1	
4	1	3	1	1	0	2160	38	100	29	-1	
5	1	3	1	1	1	2160	46	18	21	92.192619	z
5	1	3	1	1	2	2218	38	42	29	8.644333	GJ
2	1	4	0	0	0	161	73	196	33	-1	
3	1	4	1	0	0	161	73	196	33	-1	
4	1	4	1	1	0	161	73	196	33	-1	
5	1	4	1	1	1	161	73	196	33	95.688576	Customer
2	1	5	0	0	0	738	55	346	30	-1	
3	1	5	1	0	0	738	55	346	30	-1	
4	1	5	1	1	0	738	55	346	30	-1	
5	1	5	1	1	1	738	55	80	30	95.871460	ABC
5	1	5	1	1	2	830	55	175	29	95.871460	TRADING
5	1	5	1	1	3	1020	55	64	29	96.050659	CO.
2	1	6	0	0	0	745	99	310	43	-1	
3	1	6	1	0	0	745	99	310	43	-1	
4	1	6	1	1	0	745	99	310	43	-1	
5	1	6	1	1	1	745	99	229	43	19.982994	Bylai
5	1	6	1	1	2	860	95	30	51	21.395775	ow
5	1	6	1	1	3	911	95	22	51	17.486198	gt
5	1	6	1	1	4	949	95	30	51	51.404968	al
5	1	6	1	1	5	985	99	70	34	53.475815	Spd
2	1	7	0	0	0	1420	79	142	39	-1	
3	1	7	1	0	0	1420	79	142	39	-1	
4	1	7	1	1	0	1420	79	142	39	-1	
5	1	7	1	1	1	1416	63	86	59	0.000000	peal
5	1	7	1	1	2	1519	63	43	59	32.107941	pul
2	1	8	0	0	0	1667	115	196	30	-1	
3	1	8	1	0	0	1667	115	196	30	-1	
4	1	8	1	1	0	1667	115	196	30	-1	
5	1	8	1	1	1	1667	111	122	43	32.583588	Invoices
5	1	8	1	1	2	1802	117	61	26	96.717209	Date
2	1	9	0	0	0	1932	115	127	30	-1	
3	1	9	1	0	0	1932	115	127	30	-1	
4	1	9	1	1	0	1932	115	127	30	-1	
5	1	9	1	1	1	1932	115	127	30	91.877411	17-Jan-
2	1	10	0	0	0	2148	115	130	37	-1	
3	1	10	1	0	0	2148	115	130	37	-1	
4	1	10	1	1	0	2148	115	130	37	-1	
5	1	10	1	1	1	2148	115	50	37	0.000000	(jib
5	1	10	1	1	2	2229	115	49	29	72.988312	mh
2	1	11	0	0	0	162	126	115	33	-1	
3	1	11	1	0	0	162	126	115	33	-1	
4	1	11	1	1	0	162	126	115	33	-1	
5	1	11	1	1	1	162	126	115	33	96.691635	Name
2	1	12	0	0	0	1666	160	78	29	-1	
3	1	12	1	0	0	1666	160	78	29	-1	
4	1	12	1	1	0	1666	160	78	29	-1	
5	1	12	1	1	1	1666	160	78	29	96.315231	Date
2	1	13	0	0	0	1952	161	83	30	-1	
3	1	13	1	0	0	1952	161	83	30	-1	
4	1	13	1	1	0	1952	161	83	30	-1	
5	1	13	1	1	1	1952	161	83	30	96.995285	2026
2	1	14	0	0	0	498	213	770	30	-1	
3	1	14	1	0	0	498	213	770	30	-1	
4	1	14	1	1	0	498	213	770	30	-1	
5	1	14	1	1	1	498	213	85	30	96.531593	0345
5	1	14	1	1	2	607	213	67	29	96.531593	13D
