level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3308	4678	-1	
2	1	1	0	0	0	106	231	3095	3113	-1	
3	1	1	1	0	0	106	231	3095	3139	-1	
4	1	1	1	1	0	171	231	2964	51	-1	
5	1	1	1	1	1	171	231	182	36	90.962479	Ethicfin
5	1	1	1	1	2	367	231	49	36	93.250015	Al
5	1	1	1	1	3	429	231	196	36	89.672714	Ghamdi
5	1	1	1	1	4	638	233	286	43	96.462303	Contracting
5	1	1	1	1	5	941	234	84	33	95.910645	Est.
5	1	1	1	1	6	3005	234	130	42	61.082272	مؤؤسمة
5	1	1	1	1	7	2950	243	39	33	93.247246	بن
5	1	1	1	1	8	2873	237	60	45	94.980988	علي
5	1	1	1	1	9	2821	243	36	33	96.848106	بن
5	1	1	1	1	10	2720	246	84	18	96.512047	سعد
5	1	1	1	1	11	2668	234	35	36	92.857620	ال
5	1	1	1	1	12	2574	246	81	36	88.513306	محي
5	1	1	1	1	13	2413	234	141	45	88.513306	الغامدي
5	1	1	1	1	14	2229	237	168	36	42.414364	للمقاولاتث‎
4	1	1	1	2	0	157	296	2989	35	-1	
5	1	1	1	2	1	157	297	290	34	90.770927	Al-Muzahimiyah,
5	1	1	1	2	2	458	297	117	30	92.234856	Wasila,
5	1	1	1	2	3	590	299	101	25	96.922920	19658
5	1	1	1	2	4	1732	296	26	21	60.606125	1
5	1	1	1	2	5	2657	303	108	25	0.000000	١م
5	1	1	1	2	6	2892	291	254	45	7.510605	المزاحمية»ءوسيلة»
5	1	1	1	2	7	2796	291	84	45	17.188690	العام‎
4	1	1	1	3	0	155	348	2987	48	-1	
5	1	1	1	3	1	155	351	45	27	90.095154	CR
5	1	1	1	3	2	220	360	6	18	83.594360	:
5	1	1	1	3	3	242	348	305	27	81.675438	798796645324
5	1	1	1	3	4	1601	349	240	47	60.556091	—
5	1	1	1	3	5	2834	355	29	19	73.895035	١١
5	1	1	1	3	6	2877	354	76	21	0.000000	NAAN
5	1	1	1	3	7	2971	358	5	15	89.969521	:
5	1	1	1	3	8	3093	351	49	29	94.233673	رقم
5	1	1	1	3	9	2989	353	79	27	91.550316	السجل‎
4	1	1	1	4	0	161	402	2984	34	-1	
5	1	1	1	4	1	161	403	61	27	96.602844	VAT
5	1	1	1	4	2	234	403	71	27	95.955627	NO:
