level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1053	-1	
2	1	1	0	0	0	114	16	2247	4	-1	
3	1	1	1	0	0	114	16	2247	4	-1	
4	1	1	1	1	0	114	16	2247	4	-1	
5	1	1	1	1	1	114	16	2247	4	95.000000	 
2	1	2	0	0	0	738	38	1522	47	-1	
3	1	2	1	0	0	738	38	1522	47	-1	
4	1	2	1	1	0	738	38	1522	47	-1	
5	1	2	1	1	1	738	55	80	30	96.341431	ABC
5	1	2	1	1	2	830	55	175	29	94.826324	TRADING
5	1	2	1	1	3	1020	55	64	29	88.224617	CO.
5	1	2	1	1	4	1685	38	180	31	20.186493	InvoiceNvo}
5	1	2	1	1	5	1927	38	138	29	96.275345	01-1202
5	1	2	1	1	6	2160	46	18	21	91.809669	z
5	1	2	1	1	7	2218	38	42	29	52.138561	GJ
2	1	3	0	0	0	1876	86	485	4	-1	
3	1	3	1	0	0	1876	86	485	4	-1	
4	1	3	1	1	0	1876	86	485	4	-1	
5	1	3	1	1	1	1876	86	485	4	95.000000	 
2	1	4	0	0	0	1645	91	236	4	-1	
3	1	4	1	0	0	1645	91	236	4	-1	
4	1	4	1	1	0	1645	91	236	4	-1	
5	1	4	1	1	1	1645	91	236	4	95.000000	 
2	1	5	0	0	0	114	196	2247	4	-1	
3	1	5	1	0	0	114	196	2247	4	-1	
4	1	5	1	1	0	114	196	2247	4	-1	
5	1	5	1	1	1	114	196	2247	4	95.000000	 
2	1	6	0	0	0	161	73	2181	349	-1	
3	1	6	1	0	0	161	73	2116	182	-1	
4	1	6	1	1	0	161	73	1401	38	-1	
5	1	6	1	1	1	161	73	196	33	95.700760	Customer
5	1	6	1	1	2	746	105	69	6	50.392662	von
5	1	6	1	1	3	987	101	66	10	37.334885	an
5	1	6	1	1	4	1420	79	82	30	19.601700	ice
5	1	6	1	1	5	1558	79	4	24	34.916428	eat]
4	1	6	1	2	0	163	87	2114	75	-1	
5	1	6	1	2	1	163	126	114	33	95.561623	Name
5	1	6	1	2	2	745	87	96	75	0.000000	Blaill
5	1	6	1	2	3	859	87	32	75	40.197788	pu
5	1	6	1	2	4	909	87	26	75	54.352150	gt
5	1	6	1	2	5	972	99	83	35	33.621735	St
5	1	6	1	2	6	1513	91	39	27	48.673473	™
5	1	6	1	2	7	1584	87	32	75	61.482693	|
5	1	6	1	2	8	1667	115	196	30	11.843880	[inweiceDate}
5	1	6	1	2	9	1932	115	127	30	49.950806	47-Jan-
5	1	6	1	2	10	2096	87	20	75	59.121593	|
5	1	6	1	2	11	2148	115	49	37	0.000000	jin
5	1	6	1	2	12	2229	115	48	29	83.439621	mh
4	1	6	1	3	0	1666	155	369	43	-1	
5	1	6	1	3	1	1666	155	77	43	96.862152	Date
5	1	6	1	3	2	1952	161	83	30	96.847900	2026
4	1	6	1	4	0	498	213	1053	42	-1	
5	1	6	1	4	1	498	213	85	30	96.366486	0345
5	1	6	1	4	2	607	213	67	29	96.366486	13D
5	1	6	1	4	3	696	213	34	29	92.914574	Al
5	1	6	1	4	4	747	213	110	29	92.686829	Manar
5	1	6	1	4	5	871	213	65	29	96.858902	Dist
5	1	6	1	4	6	959	213	174	29	96.463516	DAMMAM
5	1	6	1	4	7	1152	213	116	29	96.345276	SAUDI
5	1	6	1	4	8	1419	244	132	11	8.280685	ae
3	1	6	2	0	0	200	233	2142	64	-1	
4	1	6	2	1	0	200	233	2142	64	-1	
5	1	6	2	1	1	200	233	167	64	96.007378	Customer
5	1	6	2	1	2	496	235	144	62	96.707039	ARABIA
5	1	6	2	1	3	1395	239	184	39	0.000000	Sesllolse]
5	1	6	2	1	4	1608	235	37	62	48.038086	|
5	1	6	2	1	5	1686	258	67	29	77.699310	Due
5	1	6	2	1	6	1769	258	77	29	83.441788	Date
5	1	6	2	1	7	1889	258	214	29	0.000000	|20-Jan-2026)
5	1	6	2	1	8	2132	258	40	29	96.571358	bill
5	1	6	2	1	9	2325	258	17	29	93.254669	b
3	1	6	3	0	0	226	279	1307	36	-1	
4	1	6	3	1	0	226	279	1307	36	-1	
5	1	6	3	1	1	226	287	16	21	63.577347	s
5	1	6	3	1	2	1451	279	82	36	0.000000	oall
3	1	6	4	0	0	224	302	876	49	-1	
4	1	6	4	1	0	224	302	876	49	-1	
5	1	6	4	1	1	224	322	141	29	57.693058	Address
5	1	6	4	1	2	504	302	24	30	21.275818	\r
5	1	6	4	1	3	584	302	76	29	41.540951	rz0D
5	1	6	4	1	4	796	302	4	29	60.876698	|
5	1	6	4	1	5	894	302	53	29	1.096756	ich
5	1	6	4	1	6	1015	303	10	28	81.848564	t
5	1	6	4	1	7	1071	302	29	29	51.109447	4!
3	1	6	5	0	0	729	347	409	75	-1	
4	1	6	5	1	0	795	347	343	35	-1	
5	1	6	5	1	1	795	347	35	35	87.908104	,ol
5	1	6	5	1	2	843	347	179	30	96.400490	ZIP/Postal
5	1	6	5	1	3	1038	347	100	29	96.135925	Code:
4	1	6	5	2	0	729	393	106	29	-1	
5	1	6	5	2	1	729	393	106	29	96.182106	32273
2	1	7	0	0	0	114	428	2247	4	-1	
3	1	7	1	0	0	114	428	2247	4	-1	
4	1	7	1	1	0	114	428	2247	4	-1	
5	1	7	1	1	1	114	428	2247	4	95.000000	 
2	1	8	0	0	0	153	446	2163	249	-1	
3	1	8	1	0	0	153	446	2163	249	-1	
4	1	8	1	1	0	489	446	811	37	-1	
5	1	8	1	1	1	489	446	26	29	93.878113	1.
5	1	8	1	1	2	532	446	38	29	93.878113	10
5	1	8	1	1	3	584	446	81	37	96.234398	days
5	1	8	1	1	4	680	447	119	28	96.233498	returns
5	1	8	1	1	5	815	446	106	37	96.233498	policy.
5	1	8	1	1	6	936	446	29	29	96.848267	2.
5	1	8	1	1	7	980	446	74	29	96.759506	Risk
5	1	8	1	1	8	1068	454	121	29	96.589973	passes
5	1	8	1	1	9	1203	447	31	28	96.836288	to
5	1	8	1	1	10	1247	446	53	29	96.790878	the
4	1	8	1	2	0	496	489	715	37	-1	
5	1	8	1	2	1	496	489	97	37	96.616150	buyer
5	1	8	1	2	2	606	497	83	29	95.438339	upon
5	1	8	1	2	3	703	489	144	37	96.764091	delivery.
5	1	8	1	2	4	863	489	186	37	96.591820	Ownership
5	1	8	1	2	5	1062	489	33	29	96.639290	of
5	1	8	1	2	6	1106	489	105	37	96.913795	goods
4	1	8	1	3	0	153	528	2163	45	-1	
5	1	8	1	3	1	153	531	151	37	96.640167	Payment
5	1	8	1	3	2	315	531	108	29	96.338272	Terms
5	1	8	1	3	3	445	526	20	48	85.602493	|
5	1	8	1	3	4	496	531	136	30	85.602493	remains
5	1	8	1	3	5	645	531	68	29	96.297661	with
5	1	8	1	3	6	728	531	53	29	96.297661	the
5	1	8	1	3	7	1413	533	64	40	36.767174	pall
5	1	8	1	3	8	1497	533	30	34	58.068863	Lg
5	1	8	1	3	9	1537	524	31	53	31.227638	pd
5	1	8	1	3	10	1691	528	72	32	95.489067	Our
5	1	8	1	3	11	1778	528	63	32	96.266731	Ref
5	1	8	1	3	12	2153	534	109	36	17.472885	eal
4	1	8	1	4	0	539	572	1627	39	-1	
5	1	8	1	4	1	539	582	155	29	96.283783	company
5	1	8	1	4	2	708	574	65	29	96.140450	until
5	1	8	1	4	3	785	574	46	29	96.947174	full
5	1	8	1	4	4	845	575	146	36	95.529305	payment
5	1	8	1	4	5	1004	574	23	29	95.014053	is
5	1	8	1	4	6	1041	574	151	29	95.982277	received.
5	1	8	1	4	7	1207	574	28	30	96.852257	3.
5	1	8	1	4	8	1246	574	40	29	94.247879	All
5	1	8	1	4	9	2158	572	8	4	0.000000	:
4	1	8	1	5	0	547	617	731	37	-1	
5	1	8	1	5	1	547	617	176	37	96.771881	applicable
5	1	8	1	5	2	736	618	101	33	96.550858	taxes,
5	1	8	1	5	3	853	617	112	34	96.473343	duties,
5	1	8	1	5	4	980	617	62	29	96.737778	and
5	1	8	1	5	5	1059	617	97	29	96.941086	levies
5	1	8	1	5	6	1169	617	52	29	96.382278	will
5	1	8	1	5	7	1238	617	40	29	96.869713	be
4	1	8	1	6	0	596	659	1051	36	-1	
5	1	8	1	6	1	596	659	138	36	96.440765	charged
5	1	8	1	6	2	749	660	85	28	96.455292	extra
5	1	8	1	6	3	846	667	39	22	96.941093	as
5	1	8	1	6	4	898	667	56	28	95.419838	per
5	1	8	1	6	5	964	659	164	36	96.589890	prevailing
5	1	8	1	6	6	1143	659	84	30	96.743439	laws.
5	1	8	1	6	7	1644	677	3	18	50.586586	\
2	1	9	0	0	0	114	695	2247	4	-1	
