level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1053	-1	
2	1	1	0	0	0	153	0	2204	1021	-1	
3	1	1	1	0	0	153	0	2204	1021	-1	
4	1	1	1	1	0	170	0	2130	20	-1	
5	1	1	1	1	1	170	0	36	17	0.000000	Racerint
5	1	1	1	1	2	216	0	5	17	32.629326	32
5	1	1	1	1	3	232	0	48	17	24.007050	HALA!
5	1	1	1	1	4	288	0	37	17	0.000000	aWUrdenr
5	1	1	1	1	5	328	0	18	17	0.000000	nr)
5	1	1	1	1	6	354	0	56	17	0.000000	iveriietiom:
5	1	1	1	1	7	418	0	3	5	0.000000	—
5	1	1	1	1	8	1193	0	65	20	12.587830	i
5	1	1	1	1	9	1364	0	25	20	12.517212	Vy
5	1	1	1	1	10	2120	0	17	17	27.823212	si
5	1	1	1	1	11	2192	0	27	10	51.466106	=e
5	1	1	1	1	12	2265	0	8	5	12.225960	°
5	1	1	1	1	13	2292	0	8	10	65.488899	£
4	1	1	1	2	0	177	21	2126	29	-1	
5	1	1	1	2	1	177	21	51	22	85.691063	VAT
5	1	1	1	2	2	243	9	42	47	85.691063	NO:
5	1	1	1	2	3	288	21	159	22	63.720940	1234se74s
5	1	1	1	2	4	466	21	52	22	78.551598	4B7
5	1	1	1	2	5	2030	26	19	10	21.645096	Vi
5	1	1	1	2	6	2064	26	30	12	0.000000	vbr
5	1	1	1	2	7	2111	26	44	11	0.000000	eed
5	1	1	1	2	8	2176	26	127	24	30.607079	mayen
5	1	1	1	2	9	2276	3	31	51	36.036758	a3)
4	1	1	1	3	0	835	105	803	63	-1	
5	1	1	1	3	1	835	106	128	48	90.990471	TAX
5	1	1	1	3	2	987	105	286	50	90.990471	INVOICE/
5	1	1	1	3	3	1294	115	180	53	78.230980	z+y,xe
5	1	1	1	3	4	1496	106	142	62	91.476898	ztyiD
4	1	1	1	4	0	738	213	1327	47	-1	
5	1	1	1	4	1	738	230	80	30	96.873138	ABC
5	1	1	1	4	2	830	230	175	29	96.778671	TRADING
5	1	1	1	4	3	1020	230	64	29	95.516830	CO.
5	1	1	1	4	4	1685	213	180	31	0.000000	Invonsenvo
5	1	1	1	4	5	1876	209	12	67	71.646935	|
5	1	1	1	4	6	1927	213	138	29	69.767303	01-1202
4	1	1	1	5	0	161	248	1401	51	-1	
5	1	1	1	5	1	161	248	196	33	96.752441	Customer
5	1	1	1	5	2	746	274	90	25	0.000000	Stat
5	1	1	1	5	3	943	274	71	25	33.582314	bie
5	1	1	1	5	4	1420	254	82	30	0.000000	Jyeall
5	1	1	1	5	5	1513	254	49	39	31.870850	pus!
4	1	1	1	6	0	1666	335	369	31	-1	
5	1	1	1	6	1	1666	335	78	29	96.971291	Date
5	1	1	1	6	2	1952	336	83	30	96.414597	2026
4	1	1	1	7	0	368	388	1183	42	-1	
5	1	1	1	7	1	368	412	4	10	31.778618	'
5	1	1	1	7	2	498	388	85	30	96.158508	0345
5	1	1	1	7	3	607	388	67	29	96.158508	13D
5	1	1	1	7	4	696	388	34	29	93.141922	Al
5	1	1	1	7	5	747	388	110	29	93.059486	Manar
5	1	1	1	7	6	871	388	65	29	96.252724	Dist
5	1	1	1	7	7	959	388	174	29	96.456833	DAMMAM
5	1	1	1	7	8	1152	388	116	29	96.531693	SAUDI
5	1	1	1	7	9	1419	419	5	5	0.000000	.
5	1	1	1	7	10	1504	419	47	11	59.161034	—
4	1	1	1	8	0	200	410	1903	66	-1	
5	1	1	1	8	1	200	412	167	29	61.012482	Customes
5	1	1	1	8	2	496	410	144	66	95.906677	ARABIA
5	1	1	1	8	3	1395	414	89	39	0.000000	eel
5	1	1	1	8	4	1497	414	82	34	0.000000	oll
5	1	1	1	8	5	1608	410	40	67	52.823391	|
5	1	1	1	8	6	1686	433	67	29	81.484573	Due
5	1	1	1	8	7	1769	433	77	29	83.521820	Date
5	1	1	1	8	8	1889	433	214	29	22.415588	|20-Jan-2026
4	1	1	1	9	0	226	454	1307	36	-1	
5	1	1	1	9	1	226	462	16	21	58.302711	s
5	1	1	1	9	2	1451	454	82	36	35.598175	peal!
4	1	1	1	10	0	224	477	876	49	-1	
5	1	1	1	10	1	224	497	141	29	32.541595	Address
5	1	1	1	10	2	504	477	24	30	72.065140	\r
5	1	1	1	10	3	584	477	76	29	54.626736	20D
5	1	1	1	10	4	796	477	4	29	71.501450	|
5	1	1	1	10	5	894	477	53	29	87.084801	Icl
5	1	1	1	10	6	1015	478	10	28	87.084801	t
5	1	1	1	10	7	1071	477	29	29	75.129211	4l
4	1	1	1	11	0	795	522	343	35	-1	
5	1	1	1	11	1	795	522	35	35	88.867775	,ol
5	1	1	1	11	2	843	522	179	30	96.098610	ZIP/Postal
5	1	1	1	11	3	1038	522	100	29	96.329422	Code:
4	1	1	1	12	0	729	568	106	29	-1	
5	1	1	1	12	1	729	568	106	29	96.249168	32273
4	1	1	1	13	0	489	621	811	37	-1	
5	1	1	1	13	1	489	621	26	29	69.555801	1.
5	1	1	1	13	2	532	621	38	29	69.555801	10
5	1	1	1	13	3	584	621	81	37	96.253204	days
5	1	1	1	13	4	680	622	119	28	96.389557	returns
5	1	1	1	13	5	815	621	106	37	96.389557	policy.
5	1	1	1	13	6	936	621	29	29	96.802032	2.
5	1	1	1	13	7	980	621	74	29	96.182663	Risk
5	1	1	1	13	8	1068	629	121	29	95.986298	passes
5	1	1	1	13	9	1203	622	31	28	95.445847	to
5	1	1	1	13	10	1247	621	53	29	96.758652	the
4	1	1	1	14	0	496	664	715	37	-1	
5	1	1	1	14	1	496	664	97	37	96.918396	buyer
5	1	1	1	14	2	606	672	83	29	96.028503	upon
5	1	1	1	14	3	703	664	144	37	96.754143	delivery.
5	1	1	1	14	4	863	664	186	37	96.555435	Ownership
5	1	1	1	14	5	1062	664	33	29	96.287827	of
5	1	1	1	14	6	1106	664	105	37	96.850998	goods
4	1	1	1	15	0	153	703	2163	48	-1	
5	1	1	1	15	1	153	706	151	37	96.568108	Payment
5	1	1	1	15	2	315	706	108	29	95.895958	Terms
5	1	1	1	15	3	445	701	20	48	83.745148	|
5	1	1	1	15	4	496	706	136	30	83.745148	remains
5	1	1	1	15	5	645	706	68	29	95.921127	with
5	1	1	1	15	6	728	706	53	29	96.887978	the
5	1	1	1	15	7	1413	708	64	40	22.263199	pall
5	1	1	1	15	8	1497	708	30	34	51.238018	Lg
5	1	1	1	15	9	1537	699	31	53	36.026260	yt
5	1	1	1	15	10	1691	703	72	32	96.536438	Our
5	1	1	1	15	11	1778	703	63	32	96.633965	Ref
5	1	1	1	15	12	2153	709	109	42	17.585915	eal
5	1	1	1	15	13	2275	714	41	34	21.011154	a
4	1	1	1	16	0	539	749	747	37	-1	
5	1	1	1	16	1	539	757	155	29	96.351616	company
5	1	1	1	16	2	708	749	65	29	96.299118	until
5	1	1	1	16	3	785	749	46	29	96.931831	full
5	1	1	1	16	4	845	750	146	36	92.334282	payment
5	1	1	1	16	5	1004	749	23	29	95.016190	is
5	1	1	1	16	6	1041	749	151	29	96.491287	received.
5	1	1	1	16	7	1207	749	28	30	96.724892	3.
5	1	1	1	16	8	1246	749	40	29	94.677849	All
4	1	1	1	17	0	547	792	731	37	-1	
5	1	1	1	17	1	547	792	176	37	96.602638	applicable
5	1	1	1	17	2	736	793	101	33	96.773903	taxes,
5	1	1	1	17	3	853	792	112	34	96.688072	duties,
5	1	1	1	17	4	981	792	61	29	96.770088	and
5	1	1	1	17	5	1058	792	98	29	96.257492	levies
5	1	1	1	17	6	1169	792	52	29	96.289963	will
5	1	1	1	17	7	1238	792	40	29	96.696617	be
4	1	1	1	18	0	596	834	948	46	-1	
5	1	1	1	18	1	596	834	138	29	96.269745	charged
5	1	1	1	18	2	750	835	84	28	96.098328	extra
5	1	1	1	18	3	846	842	39	22	95.417427	as
5	1	1	1	18	4	901	842	53	21	96.298195	per
5	1	1	1	18	5	967	834	157	29	96.214432	prevailing
5	1	1	1	18	6	1142	834	85	30	96.730293	laws.
5	1	1	1	18	7	1404	876	8	4	13.466461	.
5	1	1	1	18	8	1537	875	7	4	49.586758	.
4	1	1	1	19	0	233	949	2124	72	-1	
5	1	1	1	19	1	233	965	110	29	3.608101	a
5	1	1	1	19	2	453	949	1904	72	27.061623	el
