level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	702	-1	
2	1	1	0	0	0	121	34	2237	468	-1	
3	1	1	1	0	0	121	13	2237	489	-1	
4	1	1	1	1	0	854	34	1084	36	-1	
5	1	1	1	1	1	854	35	71	27	96.769791	VAT
5	1	1	1	1	2	936	34	89	29	96.769791	Total
5	1	1	1	1	3	1042	35	73	28	96.871552	15%
5	1	1	1	1	4	1642	36	110	26	0.000000	tiLinall
5	1	1	1	1	5	1764	36	77	31	8.972183	dasdll
5	1	1	1	1	6	1853	41	32	28	52.362038	day
5	1	1	1	1	7	1878	42	60	28	31.395042	pes
4	1	1	1	2	0	853	89	1505	71	-1	
5	1	1	1	2	1	853	109	90	28	96.416641	Total
5	1	1	1	2	2	957	109	81	28	96.586723	With
5	1	1	1	2	3	1052	110	71	27	96.238953	VAT
5	1	1	1	2	4	1137	109	29	28	96.238953	in
5	1	1	1	2	5	1181	110	70	27	96.960808	SAR
5	1	1	1	2	6	1622	111	107	34	43.219982	ual!
5	1	1	1	2	7	1741	111	72	32	42.410667	ald
5	1	1	1	2	8	1824	111	114	39	0.000000	pyana!!
4	1	1	1	3	0	919	227	1246	37	-1	
5	1	1	1	3	1	919	227	96	30	93.135666	Saudi
5	1	1	1	3	2	1032	227	1133	37	90.756569	RiyalsSixThousandEightHundredNinety-NineandSixty-SixHalalas
4	1	1	1	4	0	642	330	1538	107	-1	
5	1	1	1	4	1	642	340	87	30	96.596184	Bank
5	1	1	1	4	2	741	343	18	27	94.925705	A
5	1	1	1	4	3	783	331	238	101	11.521645	pei
5	1	1	1	4	4	1053	330	85	59	31.473373	Sul
5	1	1	1	4	5	1147	343	108	85	22.069939	ae
5	1	1	1	4	6	1266	330	101	50	29.669174	deel
5	1	1	1	4	7	2039	387	80	50	10.238487	275
5	1	1	1	4	8	2128	378	52	59	42.039185	a
4	1	1	1	5	0	121	311	2141	191	-1	
5	1	1	1	5	1	121	315	633	158	31.471184	a
5	1	1	1	5	2	501	422	109	31	96.373383	Name
5	1	1	1	5	3	766	311	619	166	30.980591	Ls
5	1	1	1	5	4	1082	423	35	29	87.268013	Al
5	1	1	1	5	5	1132	423	109	29	87.268013	khandi
5	1	1	1	5	6	1393	315	478	158	31.169327	a
5	1	1	1	5	7	1975	452	9	5	47.768906	:
5	1	1	1	5	8	1999	399	134	103	53.236839	ree:
5	1	1	1	5	9	2133	408	129	79	27.394623	ee
