level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3308	4678	-1	
2	1	1	0	0	0	183	334	2964	2906	-1	
3	1	1	1	0	0	183	334	2959	2902	-1	
4	1	1	1	1	0	246	334	2814	54	-1	
5	1	1	1	1	1	246	334	161	39	90.779388	Ethscfin
5	1	1	1	1	2	431	334	227	39	92.264320	AlGftatzsdi
5	1	1	1	1	3	681	334	244	49	92.409782	Contzacting
5	1	1	1	1	4	956	334	80	39	91.305435	6
5	1	1	1	1	5	2936	342	124	40	78.030022	مؤسمة
5	1	1	1	1	6	2883	351	38	31	93.200371	بن
5	1	1	1	1	7	2811	345	56	43	93.814987	علي
5	1	1	1	1	8	2761	350	34	32	96.040230	بن
5	1	1	1	1	9	2665	353	80	18	96.023430	سعد
5	1	1	1	1	10	2615	342	34	34	88.838432	ال
5	1	1	1	1	11	2526	353	77	35	91.162781	محي
5	1	1	1	1	12	2374	342	133	43	91.370049	الغامدي
5	1	1	1	1	13	2198	344	160	35	37.235458	للمقاولات‎
4	1	1	1	2	0	233	346	2836	144	-1	
5	1	1	1	2	1	233	397	257	39	88.989983	Al-Muzahimiyah.
5	1	1	1	2	2	504	397	111	30	90.267548	Wasila.
5	1	1	1	2	3	639	397	87	30	80.536758	t96S8
5	1	1	1	2	4	1586	346	264	144	54.587826	SES
5	1	1	1	2	5	2606	407	102	24	0.000000	\AvoA,
5	1	1	1	2	6	2842	376	227	64	17.350388	المزاحمية,وسيلة
5	1	1	1	2	7	2738	376	96	64	17.534058	»,العام‎
4	1	1	1	3	0	231	429	2835	69	-1	
5	1	1	1	3	1	231	447	44	28	92.101395	Cn
5	1	1	1	3	2	292	455	4	20	91.345795	:
5	1	1	1	3	3	312	447	252	28	89.704353	798T90045324
5	1	1	1	3	4	1604	429	229	69	53.214851	اه‎
5	1	1	1	3	5	2773	456	27	19	82.149384	١١
5	1	1	1	3	6	2814	455	73	21	38.124336	MAAS:
5	1	1	1	3	7	3019	453	47	27	75.856750	رقم
5	1	1	1	3	8	2903	454	93	26	91.799263	السجل‎
4	1	1	1	4	0	237	495	2832	39	-1	
5	1	1	1	4	1	237	495	76	30	96.766197	VAT
5	1	1	1	4	2	329	495	63	30	96.503860	NO:
5	1	1	1	4	3	412	495	59	31	95.991646	123
5	1	1	1	4	4	485	495	124	31	85.231834	456745
5	1	1	1	4	5	637	495	68	30	91.501671	7
5	1	1	1	4	6	3024	503	45	28	94.584740	رقم
5	1	1	1	4	7	2916	503	92	31	20.990997	القريية
5	1	1	1	4	8	2893	505	10	19	33.225266	د
5	1	1	1	4	9	2699	504	111	21	32.092690	خلأ‎
4	1	1	1	5	0	1192	608	913	84	-1	
5	1	1	1	5	1	1192	609	142	64	92.657784	TAX
