level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1052	-1	
2	1	1	0	0	0	153	4	270	37	-1	
3	1	1	1	0	0	153	4	270	37	-1	
4	1	1	1	1	0	153	4	270	37	-1	
5	1	1	1	1	1	153	4	151	37	95.839836	Payment
5	1	1	1	1	2	315	4	108	29	96.121582	Terms
2	1	2	0	0	0	496	4	285	30	-1	
3	1	2	1	0	0	496	4	285	30	-1	
4	1	2	1	1	0	496	4	285	30	-1	
5	1	2	1	1	1	496	12	136	22	96.083542	remains
5	1	2	1	1	2	645	4	68	29	96.648193	with
5	1	2	1	1	3	728	4	53	29	96.600975	the
2	1	3	0	0	0	1691	1	150	32	-1	
3	1	3	1	0	0	1691	1	150	32	-1	
4	1	3	1	1	0	1691	1	150	32	-1	
5	1	3	1	1	1	1691	1	72	32	96.278206	Our
5	1	3	1	1	2	1778	1	63	32	94.802612	Ref
2	1	4	0	0	0	2153	3	163	47	-1	
3	1	4	1	0	0	2153	3	163	47	-1	
4	1	4	1	1	0	2153	3	163	47	-1	
5	1	4	1	1	1	2153	3	109	47	0.000000	eaell
5	1	4	1	1	2	2286	17	30	29	8.573982	By
2	1	5	0	0	0	539	47	747	37	-1	
3	1	5	1	0	0	539	47	747	37	-1	
4	1	5	1	1	0	539	47	747	37	-1	
5	1	5	1	1	1	539	55	155	29	96.351616	company
5	1	5	1	1	2	707	47	66	29	96.299118	until
5	1	5	1	1	3	785	47	46	29	96.931831	full
5	1	5	1	1	4	845	48	146	36	92.334282	payment
5	1	5	1	1	5	1004	55	23	21	95.016190	is
5	1	5	1	1	6	1041	47	140	29	96.491287	received.
5	1	5	1	1	7	1207	47	19	30	96.724892	3.
5	1	5	1	1	8	1246	47	40	29	94.677849	All
2	1	6	0	0	0	547	90	731	37	-1	
3	1	6	1	0	0	547	90	731	37	-1	
4	1	6	1	1	0	547	90	731	37	-1	
5	1	6	1	1	1	547	90	176	37	96.692650	applicable
5	1	6	1	1	2	736	91	92	29	96.071724	taxes,
5	1	6	1	1	3	853	90	102	30	96.079002	duties,
5	1	6	1	1	4	980	90	62	29	96.844177	and
5	1	6	1	1	5	1058	90	98	30	96.175095	levies
5	1	6	1	1	6	1169	90	52	29	96.462997	will
5	1	6	1	1	7	1238	90	40	29	96.947884	be
2	1	7	0	0	0	596	132	621	36	-1	
3	1	7	1	0	0	596	132	621	36	-1	
4	1	7	1	1	0	596	132	621	36	-1	
5	1	7	1	1	1	596	132	138	36	96.461502	charged
5	1	7	1	1	2	749	133	85	28	96.207123	extra
5	1	7	1	1	3	846	140	39	22	96.226334	as
5	1	7	1	1	4	898	140	56	28	96.226334	per
5	1	7	1	1	5	964	132	164	36	96.298622	prevailing
5	1	7	1	1	6	1142	132	75	30	96.616852	laws
2	1	8	0	0	0	222	188	131	29	-1	
3	1	8	1	0	0	222	188	131	29	-1	
4	1	8	1	1	0	222	188	131	29	-1	
5	1	8	1	1	1	222	188	131	29	92.237976	VATNO
2	1	9	0	0	0	771	189	277	30	-1	
3	1	9	1	0	0	771	189	277	30	-1	
4	1	9	1	1	0	771	189	277	30	-1	
5	1	9	1	1	1	771	189	277	30	96.396767	3608500000856
2	1	10	0	0	0	1398	150	455	68	-1	
3	1	10	1	0	0	1398	150	455	68	-1	
4	1	10	1	1	0	1398	150	455	68	-1	
5	1	10	1	1	1	1398	166	35	37	25.686836	Ear
5	1	10	1	1	2	1444	166	62	46	29.007904	pall
5	1	10	1	1	3	1528	179	16	29	36.010303	8
5	1	10	1	1	4	1562	172	17	31	48.192215	TT
5	1	10	1	1	5	1644	150	3	68	87.937927	|
5	1	10	1	1	6	1675	172	39	24	96.330200	PO
5	1	10	1	1	7	1728	172	125	24	95.255478	Number
2	1	11	0	0	0	2151	172	151	28	-1	
