level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1053	-1	
2	1	1	0	0	0	378	0	30	5	-1	
3	1	1	1	0	0	378	0	30	5	-1	
4	1	1	1	1	0	378	0	30	5	-1	
5	1	1	1	1	1	378	0	30	5	29.265770	Dette
2	1	2	0	0	0	174	0	344	43	-1	
3	1	2	1	0	0	174	0	344	43	-1	
4	1	2	1	1	0	174	0	344	43	-1	
5	1	2	1	1	1	174	0	53	43	83.481354	VAT
5	1	2	1	1	2	242	0	43	62	83.481354	NO:
5	1	2	1	1	3	288	0	159	43	54.636787	1234s674s
5	1	2	1	1	4	466	21	52	22	84.476944	4B7
2	1	3	0	0	0	1364	0	25	20	-1	
3	1	3	1	0	0	1364	0	25	20	-1	
4	1	3	1	1	0	1364	0	25	20	-1	
5	1	3	1	1	1	1364	0	25	20	12.517212	Vy
2	1	4	0	0	0	2030	5	273	45	-1	
3	1	4	1	0	0	2030	5	273	45	-1	
4	1	4	1	1	0	2030	5	273	45	-1	
5	1	4	1	1	1	2030	26	19	10	0.000000	PE
5	1	4	1	1	2	2062	26	32	12	0.000000	Ve
5	1	4	1	1	3	2107	26	48	11	41.246906	weed
5	1	4	1	1	4	2176	5	34	45	0.170944	wy
5	1	4	1	1	5	2220	5	38	45	40.298836	peu!
5	1	4	1	1	6	2273	5	30	45	21.002029	a9)
2	1	5	0	0	0	835	105	803	63	-1	
3	1	5	1	0	0	835	105	803	63	-1	
4	1	5	1	1	0	835	105	803	63	-1	
5	1	5	1	1	1	835	106	128	48	90.990471	TAX
5	1	5	1	1	2	987	105	286	50	90.990471	INVOICE/
5	1	5	1	1	3	1294	115	180	53	78.230980	z+y,xe
5	1	5	1	1	4	1496	106	142	62	91.476898	ztyiD
2	1	6	0	0	0	738	230	346	30	-1	
3	1	6	1	0	0	738	230	346	30	-1	
4	1	6	1	1	0	738	230	346	30	-1	
5	1	6	1	1	1	738	230	80	30	95.871460	ABC
5	1	6	1	1	2	830	230	175	29	95.871460	TRADING
5	1	6	1	1	3	1020	230	64	29	96.050659	CO.
2	1	7	0	0	0	1685	213	180	31	-1	
3	1	7	1	0	0	1685	213	180	31	-1	
4	1	7	1	1	0	1685	213	180	31	-1	
5	1	7	1	1	1	1685	213	180	31	62.584072	InvoiceNvo
2	1	8	0	0	0	1927	213	138	29	-1	
3	1	8	1	0	0	1927	213	138	29	-1	
4	1	8	1	1	0	1927	213	138	29	-1	
5	1	8	1	1	1	1927	213	138	29	96.275978	01-1202
2	1	9	0	0	0	2160	213	100	29	-1	
3	1	9	1	0	0	2160	213	100	29	-1	
4	1	9	1	1	0	2160	213	100	29	-1	
5	1	9	1	1	1	2160	221	18	21	92.192619	z
5	1	9	1	1	2	2218	213	42	29	8.644333	GJ
2	1	10	0	0	0	161	248	196	33	-1	
3	1	10	1	0	0	161	248	196	33	-1	
4	1	10	1	1	0	161	248	196	33	-1	
5	1	10	1	1	1	161	248	196	33	95.688576	Customer
2	1	11	0	0	0	1420	254	142	39	-1	
3	1	11	1	0	0	1420	254	142	39	-1	
4	1	11	1	1	0	1420	254	142	39	-1	
5	1	11	1	1	1	1416	238	86	59	0.000000	peal
5	1	11	1	1	2	1519	238	43	59	32.107941	pul
2	1	12	0	0	0	745	274	310	43	-1	
3	1	12	1	0	0	745	274	310	43	-1	
4	1	12	1	1	0	745	274	310	43	-1	
5	1	12	1	1	1	745	274	229	43	19.982994	Bylai
5	1	12	1	1	2	860	270	30	51	21.395775	ow
5	1	12	1	1	3	911	270	22	51	17.486198	gt
5	1	12	1	1	4	949	270	30	51	51.404968	al
5	1	12	1	1	5	985	274	70	34	53.475815	Spd
2	1	13	0	0	0	1667	290	196	30	-1	
3	1	13	1	0	0	1667	290	196	30	-1	
4	1	13	1	1	0	1667	290	196	30	-1	
5	1	13	1	1	1	1667	286	122	43	32.583588	Invoices
5	1	13	1	1	2	1802	292	61	26	96.717209	Date
2	1	14	0	0	0	1932	290	127	30	-1	
3	1	14	1	0	0	1932	290	127	30	-1	
4	1	14	1	1	0	1932	290	127	30	-1	
5	1	14	1	1	1	1932	290	127	30	91.877411	17-Jan-
2	1	15	0	0	0	2148	290	130	37	-1	
3	1	15	1	0	0	2148	290	130	37	-1	
4	1	15	1	1	0	2148	290	130	37	-1	
5	1	15	1	1	1	2148	290	50	37	0.000000	(jib
5	1	15	1	1	2	2229	290	49	29	72.988312	mh
2	1	16	0	0	0	162	301	115	33	-1	
3	1	16	1	0	0	162	301	115	33	-1	
4	1	16	1	1	0	162	301	115	33	-1	
5	1	16	1	1	1	162	301	115	33	96.691635	Name
2	1	17	0	0	0	1666	335	78	29	-1	
3	1	17	1	0	0	1666	335	78	29	-1	
4	1	17	1	1	0	1666	335	78	29	-1	
5	1	17	1	1	1	1666	335	78	29	96.315231	Date
2	1	18	0	0	0	1952	336	83	30	-1	
3	1	18	1	0	0	1952	336	83	30	-1	
4	1	18	1	1	0	1952	336	83	30	-1	
5	1	18	1	1	1	1952	336	83	30	96.995285	2026
2	1	19	0	0	0	200	412	172	29	-1	
3	1	19	1	0	0	200	412	172	29	-1	
4	1	19	1	1	0	200	412	172	29	-1	
5	1	19	1	1	1	200	412	172	29	45.357555	Customer’
2	1	20	0	0	0	498	388	770	30	-1	
3	1	20	1	0	0	498	388	770	30	-1	
4	1	20	1	1	0	498	388	770	30	-1	
5	1	20	1	1	1	498	388	85	30	96.531593	0345
5	1	20	1	1	2	607	388	67	29	96.531593	13D
5	1	20	1	1	3	696	388	34	29	93.089241	Al
5	1	20	1	1	4	747	388	110	29	92.207893	Manar
5	1	20	1	1	5	871	388	65	29	96.588524	Dist
5	1	20	1	1	6	959	388	174	29	96.476784	DAMMAM
5	1	20	1	1	7	1152	388	116	29	96.351448	SAUDI
2	1	21	0	0	0	496	432	144	29	-1	
3	1	21	1	0	0	496	432	144	29	-1	
4	1	21	1	1	0	496	432	144	29	-1	
5	1	21	1	1	1	496	432	144	29	95.739372	ARABIA
2	1	22	0	0	0	1686	433	486	29	-1	
3	1	22	1	0	0	1686	433	486	29	-1	
4	1	22	1	1	0	1686	433	486	29	-1	
5	1	22	1	1	1	1686	433	67	29	95.685196	Due
5	1	22	1	1	2	1769	433	77	29	92.244858	Date
5	1	22	1	1	3	1889	433	214	29	74.398125	|20-Jan-2026)
5	1	22	1	1	4	2132	433	40	29	94.815895	bill
2	1	23	0	0	0	2325	433	17	29	-1	
3	1	23	1	0	0	2325	433	17	29	-1	
4	1	23	1	1	0	2325	433	17	29	-1	
5	1	23	1	1	1	2325	433	17	29	91.699570	b
2	1	24	0	0	0	226	462	16	21	-1	
3	1	24	1	0	0	226	462	16	21	-1	
4	1	24	1	1	0	226	462	16	21	-1	
5	1	24	1	1	1	226	462	16	21	26.829475	S
2	1	25	0	0	0	504	477	24	30	-1	
3	1	25	1	0	0	504	477	24	30	-1	
4	1	25	1	1	0	504	477	24	30	-1	
5	1	25	1	1	1	504	477	24	30	90.825226	\r
2	1	26	0	0	0	584	477	76	29	-1	
3	1	26	1	0	0	584	477	76	29	-1	
4	1	26	1	1	0	584	477	76	29	-1	
5	1	26	1	1	1	584	477	76	29	19.429214	rzOD
2	1	27	0	0	0	796	477	4	29	-1	
3	1	27	1	0	0	796	477	4	29	-1	
4	1	27	1	1	0	796	477	4	29	-1	
5	1	27	1	1	1	796	477	4	29	69.859901	|
2	1	28	0	0	0	894	477	53	29	-1	
3	1	28	1	0	0	894	477	53	29	-1	
4	1	28	1	1	0	894	477	53	29	-1	
